,Brand,Variety,Style,Country/Region,Stars,Top Ten
1624,Sakurai Foods,Sesame Noodles,Pack,Japan,5.0,
1625,Sakurai Foods,Miso Ramen,Bowl,Japan,4.0,
1626,Sakurai Foods,ARCHE Naturküche Japanische Nudelsuppe,Pack,Japan,3.25,
1627,Sakurai Foods,Soy Sauce Ramen,Pack,Japan,4.75,
1628,Pot Noodle,Sweet & Spicy,Cup,UK,3.5,
1629,Vifon,Pomidorowa (Mild Tomato),Pack,Poland,4.0,
1630,Ottogi,Kiss Myon,Cup,South Korea,3.75,
1631,Ko-Lee,Instant Noodles Chicken ,Pack,UK,3.5,
1632,Trident,Hot & Spicy 2 Minute Noodles,Pack,Australia,3.5,
1633,Maruchan,Yakisoba Jalapeno Cheddar,Tray,USA,4.0,
1634,Right Foods,Dr. McDougall's Vegan Chicken Ramen,Cup,USA,1.75,
1635,Pot Noodle,Jamaican Jerk!,Cup,UK,2.75,
1636,Wai Wai,Oriental Style Instant Noodles (Dry method),Pack,Thailand,3.0,
1637,Amino,Zurek,Pack,Poland,3.25,
1638,Kamfen,E-men Lobster Soup,Pack,China,3.25,
1639,Ko-Lee,Go Noodles Chicken Special,Pack,UK,3.75,
1640,Wai Wai,Sour Soup Flavor,Pack,Thailand,3.5,
1641,Pot Noodle,Sweet & Sour,Cup,UK,3.75,
1642,Maruchan,Yakisoba Four Cheese,Tray,USA,3.75,
1643,Mama,Shrimp (TOM YUM),Pack,Thailand,3.75,
1644,Yamachan,Mild Tonkotsu,Pack,USA,5.0,
1645,Maruchan,Beef,Cup,USA,3.5,
1646,Nongshim,Jinjja Jinjja Flamin' Hot & Nutty,Pack,USA,5.0,2013 #4
1647,Paldo,Kokomen Spicy Chicken,Cup,South Korea,4.5,
1648,Paldo,Namja Ramen (USA version),Pack,South Korea,5.0,
1649,Kamfen,dried Mix Noodles Soya Bean Paste,Tray,China,3.75,
1650,Maruchan,35% Less Sodium Beef,Cup,USA,3.5,
1651,Vina Acecook,Good Artificial Minced Pork Bean Vermicelli,Pack,Vietnam,3.75,
1652,Kamfen,Dried Mix Noodles Artificial Spicy Pork,Tray,China,4.0,
1653,Paldo,Kokomen Spicy Chicken,Bowl,South Korea,4.75,
1654,Ibumie,VegeMee Vegetarian Flavour,Pack,Malaysia,2.75,
1655,Emart,Dare You! Habanero Ramen,Pack,South Korea,3.75,
1656,Maruchan,35% Less Sodium Chicken,Pack,USA,3.75,
1657,Ibumie,LadMee Hot Pepper,Pack,Malaysia,3.5,
1658,Sunlee,Shitake Mushroom Vernicalli,Bowl,Thailand,1.25,
1659,Ottogi,Jjajang Bokki,Bowl,South Korea,3.5,
1660,Shirakiku,Hot & Spicy Udon,Pack,USA,3.0,
1661,Maruchan,35% Less Sodium Beef,Pack,USA,3.5,
1662,Nongshim,Tempura Udon Flavor Cup Ramyun,Cup,South Korea,4.5,
1663,Vina Acecook,Good Chicken Abalone Bean Vermicelli,Pack,Vietnam,3.25,
1664,Goku Uma,Seafood Flavor Japanese Noodles,Bowl,Japan,4.25,
1665,Wai Wai,Casserole Beef Flavour,Pack,Thailand,3.5,
1666,Nissin,Ramen Shop Sapporo Miso,Pack,Japan,4.0,
1667,Nongshim,Spicy Shrimp Cup Ramyun,Cup,South Korea,4.25,
1668,Maruchan,Instant Lunch Shrimp,Cup,USA,3.75,
1669,Nissin,Top Ramen Cucharealo Habanero Shrimp,Pack,USA,3.75,
1670,Paldo,Namja Ramyun,Bowl,South Korea,4.25,"
"
1671,Indomie,Kriuuk Bawang,Pack,Indonesia,4.25,
1672,Sapporo Ichiban,Original Flavor,Cup,USA,3.5,
1673,Nongshim,Neoguri Spicy Seafood,Cup,South Korea,4.0,
1674,Daddy,Kari 365 Curry Flavour,Pack,Malaysia,5.0,
1675,Tradition,Vegetable Instant Noodle soup,Cup,USA,3.25,
1676,Myojo,Ippei-chan Yomise-No Yakisoba Oriental,Tray,Japan,4.75,
1677,Han's South Korea,Rice Noodle With Seafood Flavored Soup,Tray,South Korea,3.5,
1678,Sunlee,Pho Bo Beef Flavour Rice Stick,Bowl,Thailand,3.25,
1679,Sarimi,Rasa Ayam Bawang,Pack,Indonesia,3.5,
1680,Maruchan,Instant Lunch Chicken,Cup,USA,3.5,
1681,FMF,Chow Tomato ,Pack,Fiji,4.25,
1682,Long Kow,Crystal Noodles Savory Shoyu,Cup,China,1.5,
1683,FMF,Chow Masala,Pack,Fiji,4.0,
1684,Vina Acecook,Good Tomyum Kung Bean Vermicelli,Pack,Vietnam,3.5,
1685,SuperMi,Sedaaap Mi Goreng,Pack,Indonesia,5.0,
1686,Han's South Korea,Rice Noodle With Kimchi Flavored Soup,Tray,South Korea,3.0,
1687,Paldo,Bowl Noodle Shrimp Flavor,Bowl,South Korea,3.25,
1688,ABC,Selera Pedas Hot Tomato Soup Flavor,Pack,Indonesia,4.5,
1689,Vina Acecook,Hao Hao Mushroom,Pack,Vietnam,2.75,
1690,Unif / Tung-I,Mushroom Flavor Ramen Noodles,Pack,Vietnam,3.5,
1691,Yamachan,Rich Shoyu Ramen,Pack,USA,4.0,
1692,Yamachan,Nagasaki Sara Udon Chicken ,Pack,USA,4.25,
1693,Yamachan,Cold Noodles With Lemon Soy Dressing,Pack,USA,4.0,
1694,Yamachan,Tonkotsu-Shoyu Rich Pork Flavor Ramen,Pack,USA,4.75,
1695,Yamachan,Miso Ramen Rich Sapporo Miso,Pack,USA,5.0,
1696,Yamachan,Miso Ramen - Mild,Pack,USA,4.0,
1697,Yamachan,Shio Ramen Seafood Mild,Pack,USA,4.5,
1698,SuperMi,GoBang,Pack,Indonesia,5.0,
1699,Han's South Korea,Rice Noodle With Hot & Spicy,Tray,South Korea,3.25,
1700,Golden Wheat,South Korean Style Seafood,Cup,China,2.75,
1701,Song Hak,Rice Topokki,Bowl,South Korea,5.0,
1702,Nissin,Top Ramen Short Cuts Lime Chili,Pack,USA,3.75,
1703,Nongshim,Shin Bowl (New),Bowl,USA,4.25,
1704,Sarimi,Soto Koya Pedasss,Pack,Indonesia,3.25,
1705,Sunlee,Artificial Chicken Rice Vermicelli,Bowl,Thailand,2.5,
1706,Fuji Mengyo,Nabeyaki Udon,Bowl,Japan,3.5,
1707,Vifon,Viet Rice Noodles Chicken,Pack,Vietnam,3.5,
1708,Nongshim,Chapagetti,Bowl,USA,5.0,
1709,Dragonfly,Artificial Hot & Sour Shrimp,Pack,China,4.0,
1710,SuperMi,Mi Keriting Rasa Ayam Bawang,Pack,Indonesia,3.75,
1711,Vina Acecook,Good Chicken Bean Vermicelli,Pack,Vietnam,3.25,
1712,CJ CheilJedang,Katsuobushi Udon,Bowl,South Korea,3.75,
1713,Indomie,Rasa Coto Makassar,Pack,Indonesia,4.0,
1714,Master Kong,Mianba,Pack,China,4.0,
1715,Little Cook,Stewed Duck,Cup,Thailand,3.0,
1716,Unif / Tung-I,Chinese Spices Tong Tsai Bean Vermicelli,Pack,Taiwan,3.5,
1717,Indomie,Special Fried Curly Noodle (Local),Pack,Indonesia,5.0,
1718,Nissin,Top Ramen Short Cuts Roast Chicken,Pack,USA,4.25,
1719,Vina Acecook,Hao Hao Mi Chay Vegetarian,Pack,Vietnam,3.25,
1720,Baijia,Artificial Pickled Cabbage Fish,Pack,China,2.75,
1721,Tradition,Imitation Chicken Vegetarian,Cup,USA,3.75,
1722,Indomie,Rasa Mi Cakalang,Pack,Indonesia,4.5,
1723,Sempio,Seafood Vermicelli Anchovy,Bowl,South Korea,4.25,
1724,Little Cook,Mushroom Vegetarian,Bowl,Thailand,4.75,
1725,Vina Acecook,Bestcook Hot & Sour Shrimp,Bowl,Vietnam,4.25,
1726,Long Kow,Crystal Noodles Hot & Sour,Bowl,China,3.5,
1727,Dongwon,RaUdong Unfried Noodle With Kimchi,Bowl,South Korea,4.5,
1728,SuperMi,Sedaaap Mi Kuah Rasa Kari Ayam,Pack,Indonesia,4.0,
1729,Dragonfly,Artificial Pork Ribs,Bowl,China,3.5,
1730,Nissin,Top Ramen Short Cuts Chicken,Pack,USA,4.0,
1731,Nissin,Top Ramen Cucharealo Tomato Chicken,Pack,USA,3.5,
1732,Golden Wheat,South Korean Style Spicy Pork,Cup,China,3.5,
1733,Itomen,Sansai Soba Edible Wld Plant,Bowl,Japan,3.25,
1734,Vifon,Mi Kim Chee,Pack,Vietnam,3.75,
1735,Nongshim,Doong Ji Cold Noodle Chilled Broth,Pack,South Korea,4.25,
1736,Maggi,2 Minute Noodles Perencah Asam Laksa,Pack,Malaysia,4.0,
1737,Nissin,Top Ramen Short Cuts Beef,Pack,USA,3.5,
1738,JML,Artificial Stew Beef,Bowl,China,3.75,
1739,Nongshim,Chapagetti (South Korean),Pack,South Korea,4.0,
1740,Chewy,Stir Rice Vermicelli Singaporean Laksa,Tray,China,3.75,
1741,CJ CheilJedang,Mild Bean Curd Stew,Cup,South Korea,2.0,
1742,Sarimi,Soto Koya Gurih,Pack,Indonesia,4.0,
1743,Nissin,Top Ramen Cucharealo Picante Chicken,Pack,USA,4.5,
1744,Binh Tay,Mi Chay Vegetarian,Pack,Vietnam,3.5,
1745,Mr. Noodles,Shrimp,Pack,Canada,2.5,
1746,Indomie,Mi Goreng Kriuuk Pedas,Pack,Indonesia,3.75,
1747,Wai Wai,Vegetarian,Pack,Thailand,3.5,
1748,Dragonfly,Mee Goreng Dry Ramen Noodles,Pack,China,3.75,
1749,Vifon,Instant Porridge Chicken,Pack,Vietnam,3.25,
1750,Seven-Eleven,Seven & I Shoyu,Cup,Japan,4.5,
1751,Paldo,Kko Kko Myun King Cup,Bowl,South Korea,4.75,
1752,Paldo,Seolleongtangmyeon,Pack,South Korea,3.5,
1753,Paldo,Rabokki,Pack,South Korea,4.75,
1754,Paldo,Namja,Pack,South Korea,5.0,
1755,Paldo,Shoyu,Cup,Japan,3.25,
1756,Paldo,Bibim Men Cucumber,Pack,South Korea,5.0,
1757,Paldo,Kokomen Spicy Chicken,Pack,South Korea,5.0,2013 #9
1758,Paldo,Speed King Bowl (Prototype),Bowl,South Korea,3.5,
1759,Master Kong,Potatoes & Stewed Beef,Pack,China,5.0,
1760,Sunlee,Tom Yum Shrimp Rice Stick,Bowl,Thailand,3.75,
1761,Maruchan,Tempura Soba,Pack,Japan,4.0,
1762,SuperMi,Sedaaap Mi Kuah Rasa Soto,Pack,Indonesia,4.0,
1763,Souper,Bowl Ramen Shrimp,Bowl,Taiwan,3.75,
1764,Vina Acecook,Oh! Ricey Phnom Penh Rice Noodle,Pack,Vietnam,3.75,
1765,Chencun,Stewde Chicken Of Mushroom,Cup,China,3.25,
1766,Indomie,Beef,Pack,Indonesia,3.5,
1767,Mr. Noodles,Spicy Chicken,Pack,Canada,2.0,
1768,Master Kong,Spicy Beef,Pack,China,3.75,
1769,Mr. Noodles,Vegetable,Pack,Canada,1.75,
1770,ABC,Selera Pedas Mi Goreng Hot Chicken Lemon,Pack,Indonesia,4.25,
1771,Nongshim,Neoguri Mild (South Korea),Pack,South Korea,4.0,
1772,Kim's Bowl,Vegetarian Tom Yum,Bowl,Thailand,3.5,
1773,SuperMi,Super Rasa Ayam Bawang,Pack,Indonesia,4.0,
1774,Ohsung,Hot Spicy Bowl With Soy Peptide,Bowl,South Korea,3.5,
1775,Acecook,Super Big Ramen Soy Sauce,Bowl,Japan,1.25,
1776,Little Cook,Abalone Chicken,Cup,Thailand,1.75,
1777,Master Kong,Premium Taste Roasted Beef,Bowl,China,4.0,
1778,Sarimi,Isi 2 Mi Goreng Rasa Ayam Kecap,Pack,Indonesia,4.5,
1779,Gau Do,Hot Sour Shrimp,Pack,Vietnam,3.75,
1780,Mr. Noodles,Chicken,Pack,Canada,3.0,
1781,Nongshim,Bowl Noodle Savory Chicken (New),Bowl,USA,4.25,
1782,Golden Wheat,South Korean Style Pork,Cup,China,3.0,
1783,Golden Mie,Vegetable,Pack,Dubai,3.75,
1784,Vina Acecook,Kingcook Vegetable,Pack,Vietnam,3.0,
1785,Master Kong,Red Oil Dan Dan,Tray,China,2.75,
1786,Sarimi,Soto Koya Jeruk Nipis,Pack,Indonesia,4.75,
1787,Mr. Noodles,Spicy Beef,Pack,Canada,1.75,
1788,Nongshim,Bowl Noodle Spicy Chicken (New),Bowl,USA,4.5,
1789,Acecook,Super Big Ramen Tonkotsu,Bowl,Japan,1.0,
1790,GreeNoodle,Shiitake & Soy Sauce,Pack,Thailand,1.5,
1791,SuperMi,GoKar,Pack,Indonesia,4.0,
1792,Uni-President,100 Beef With Sauerkraut,Pack,Taiwan,4.75,
1793,Emart,Ramen E Ramen White Broth,Pack,South Korea,5.0,
1794,Mr. Noodles,Beef,Pack,Canada,3.0,
1795,Sarimi,Isi 2 Rasa Soto,Pack,Indonesia,3.5,
1796,Hankow,Cai Lin Ji Dry Noodles,Tray,China,3.25,
1797,Nissin,Cup Noodles Salsa Picante Chicken,Cup,USA,3.0,
1798,Nongshim,Bowl Noodle Savory Shrimp (New),Bowl,USA,3.25,
1799,Vina Acecook,Kingcook Beef,Pack,Vietnam,3.0,
1800,Ottogi,Jin Ramen (Mild) (Import),Pack,South Korea,3.5,
1801,Indomie,Mi Goreng Kriuuk Ayam,Pack,Indonesia,3.75,
1802,Mamee,Express Cup Curry,Cup,Malaysia,2.5,
1803,Mr. Noodles,Oriental,Pack,Canada,2.75,
1804,Sarimi,Isi 2 Rasa Kari spesial,Pack,Indonesia,3.75,
1805,JML,Seafood,Bowl,China,3.0,
1806,Indomie,Rasa Sup Sayuran Vegan,Pack,Indonesia,2.25,
1807,Little Cook,TVP Stewed Pork,Bowl,Thailand,3.5,
1808,Nongshim,Bowl Noodle Hot & Spicy Beef (New),Pack,USA,3.5,
1809,Mi Sedaap,Mi Kuah Rasa Ayam Bawang,Pack,Indonesia,4.0,
1810,Kailo,Chicken,Pack,Hong Kong,3.5,
1811,Nissin,Cup Noodles Shrimp Picante Style,Cup,USA,3.25,
1812,Fashion Foods,Oriental,Bowl,Thailand,0.25,
1813,Fashion Foods,Mushroom Vegetarian,Bowl,Thailand,1.75,
1814,Fashion Foods,Beef Pho,Bowl,Thailand,3.75,
1815,Super Bihun,Kuah Rice Noodles,Pack,Indonesia,4.5,
1816,Sempio,Seafood Noodle Cup,Bowl,South Korea,3.5,
1817,Maggi,2 Minute Noodles Tricky Tomato,Pack,India,3.25,
1818,Long Kow,Kimchi Pickle Bean Vermicelli,Pack,Taiwan,1.5,
1819,Thai Kitchen,Garlic Vegetable Rice Noodle,Pack,USA,3.5,
1820,Nissin,Big Cup Noodles Roast Chicken,Cup,USA,3.25,
1821,Nongshim,Bowl Noodle Savory Lobster (New),Bowl,USA,3.75,
1822,JML,Artificial Stew Pork,Bowl,China,3.25,
1823,Indomie,Mi Goreng Vegan,Pack,Indonesia,4.25,
1824,Daikoku,Bikkuchigekara Big Chige,Bowl,Japan,3.75,
1825,Nongshim,Udon ,Bowl,South Korea,4.25,
1826,Nongshim,Ansungtangmyun (US Version),Pack,USA,3.75,
1827,Nongshim,Soba,Pack,South Korea,4.25,
1828,Nongshim,Bowl Noodle Savory Tempura Udon,Bowl,USA,3.5,
1829,Nongshim,Shin Ramyun Black Onion,Cup,South Korea,5.0,
1830,Nongshim,Bowl Noodle Spicy Kimchi (New),Bowl,USA,3.75,
1831,Sapporo Ichiban,Chow Mein (New),Pack,USA,5.0,
1832,Hosoonyi,Naengmyeon Combo,Bowl,USA,3.75,
1833,Nissin,Spoon-it Chicken,Pack,USA,3.5,
1834,JML,Artificial Mushroom Chicken,Bowl,China,1.25,
1835,Nongshim,Jinjja Jinjja,Pack,South Korea,5.0,
1836,Payless,Instant Mami Beef,Pack,Philippines,3.25,
1837,Mamee,Express Cup Tom Yum,Cup,Malaysia,3.75,
1838,Golden Mie,chicken,Pack,Dubai,3.25,
1839,Wei Lih,Good Good Eat Super Ramen Vegetable,Pack,Taiwan,2.75,
1840,Indomie,Mi Goreng Sate (Local),Pack,Indonesia,5.0,
1841,JML,Artificial Spicy Beef,Bowl,China,3.5,
1842,Nissin,U.F.O. Yakiosoba,Bowl,Japan,3.75,
1843,Gau Do,Chicken Shrimp,Pack,Vietnam,2.5,
1844,Maruchan,Yakisoba Spicy Vegetable,Tray,USA,3.25,
1845,Ottogi,Odongtong Myon Seafood,Bowl,South Korea,2.75,
1846,Indomie,Mi Goreng Rasa Ayam Panggang Jumbo (Local),Pack,Indonesia,5.0,"
"
1847,Indomie,Rasa Soto Betawi,Pack,Indonesia,4.5,
1848,Indomie,Curly Noodle With Chicken Chilli Paddi,Pack,Indonesia,4.25,
1849,Indomie,Rasa Mi Kocok Bandung,Pack,Indonesia,3.25,
1850,Indomie,Rasa Soto Banjar Limau Kulit,Pack,Indonesia,5.0,
1851,Indomie,Mi Goreng Jumbo Beef,Pack,Indonesia,5.0,
1852,Indomie,Rasa Kari Ayam Medan,Pack,Indonesia,5.0,
1853,Indomie,Rasa Empal Gentong,Pack,Indonesia,4.0,
1854,Indomie,Mi Goreng Cakalang,Pack,Indonesia,4.0,
1855,Indomie,Mi Goreng Instant Cup Noodles,Cup,Indonesia,5.0,
1856,Indomie,Curly Noodle With Laksa Chilli,Pack,Indonesia,3.5,
1857,Indomie,Mi Goreng Barbecue Chicken,Pack,Indonesia,5.0,
1858,Yamamoto,Seafood Ramen,Bowl,Japan,3.5,
1859,Nongshim,Bowl Noodle Savory Beef,Bowl,USA,4.0,
1860,Golden Mie,Chicken Curry,Pack,Dubai,3.75,
1861,Nissin,Spoon-it Beef,Pack,USA,3.25,
1862,Ottogi,Kiss Myon,Pack,South Korea,3.75,
1863,Nissin,Ramen Bowl Spicy Chicken,Bowl,USA,3.25,
1864,Vifon,Hu Tieu Ca Stewed Fish,Bowl,Vietnam,3.75,
1865,Indomie,Mi Goreng Rendang (Import),Pack,Indonesia,5.0,2013 #3
1866,Pulmuone,Nature Is Delicious Spicy,Pack,South Korea,3.75,
1867,Nissin,Spoon-it Creamy Chicken,Pack,USA,4.0,
1868,Four Seas,Seaweed,Bowl,Hong Kong,3.25,
1869,Nongshim,Hearty Rice Noodle Beef,Pack,South Korea,4.25,
1870,Saigon Ve Wong,Kung Fu Mixed Foods,Bowl,Vietnam,2.75,
1871,Nissin,Chow Mein Spicy Chicken,Tray,USA,3.25,
1872,Wu Mu,Pork Flavor Ramen,Pack,Taiwan,2.75,
1873,Mee Jang,Noodle Soup Spicy Beef Garlic Onion,Bowl,Thailand,3.25,
1874,Unif,Man Han Feast Spring Onion Eel,Bowl,Taiwan,4.25,
1875,Golden Wheat,South Korean Style Beef,Cup,China,3.5,
1876,Nissin,Chow Mein Chinese Chicken Vegetable,Tray,USA,4.0,
1877,Nissin,Spoon-it Rich Hearty Beef Stew,Pack,USA,3.5,
1878,Nissin,Demae Ramen Black Garlic Oil Tonkotsu,Pack,Japan,4.5,
1879,Nissin,Big Cup Noodles Lime Chili Shrimp,Cup,USA,4.0,
1880,Nissin,Chikin Ramen (Local),Pack,Japan,5.0,
1881,Nissin,Cup Noodles Salsa Picante Shrimp,Cup,USA,3.5,
1882,Nissin,Chow Mein Orange Chicken,Tray,USA,4.0,
1883,Nissin,Spoon-it Rich Hearty Savory Chicken,Pack,USA,3.25,
1884,Nissin,Big Cup Noodles Spicy Chicken,Cup,USA,3.5,
1885,JFC,Japanese Style Noodle Curry,Bowl,Japan,4.5,
1886,Vina Acecook,Kingcook Chicken,Pack,Vietnam,3.5,
1887,Chewy,Stir Rice Vermicelli Indonesian Gado Gado,Tray,China,2.25,
1888,Samyang,Assorted Vegetable Ramen,Pack,South Korea,3.75,
1889,Mamee,Express Cup Vegetarian,Cup,Malaysia,2.0,
1890,Maruchan,Yakisoba Savory Soy Sauce,Tray,USA,3.75,
1891,Mee Jang,Noodle Soup Sour Spicy Shrimp Tom Yum,Bowl,Thailand,2.5,
1892,Ohsung,Hong Ramyun Soy Peptide Hot Spicy,Pack,South Korea,3.75,
1893,Nissin,Cup Noodles Xo Sauce Seafood,Cup,Hong Kong,3.75,
1894,Mi Sedaap,Mi Segera Mi Goreng Perisa Sambal Goreng,Pack,Indonesia,4.5,
1895,Indomie,Rasa Sup Buntut Oxtail Soup,Pack,Indonesia,2.75,
1896,Dragonfly,Artificial Seafood,Pack,China,3.75,
1897,Nongshim,Udon Garlic Teriyaki,Pack,South Korea,4.75,
1898,Indomie,Instant Cup Noodles Mi Goreng Satay,Cup,Indonesia,4.25,
1899,Nongshim,Hearty Rice Noodle Black Bean Vegetable,Pack,South Korea,3.75,
1900,Vina Acecook,Kingcook Shrimp,Pack,Vietnam,2.75,
1901,Mamee,Express Cup Fried Onion Chicken,Cup,Malaysia,3.25,
1902,Wang,Kitsune Udon,Bowl,South Korea,4.0,
1903,Nongshim,Shin Ramyun Shrimp,Pack,China,4.5,
1904,Indomie,Spicy Coconut Shrimp,Pack,Indonesia,4.75,
1905,Samyang,Nagasaki Jjampong,Pack,South Korea,4.75,
1906,Paldo,Kko Kko Myun,Pack,South Korea,5.0,
1907,Ohsung,Hong Ramyun Soup Soy Peptide Mild,Pack,South Korea,3.25,
1908,Mug Shot,Chicken,Pack,UK,3.0,
1909,Mug Shot,Spicy Sweet & Sour,Pack,UK,3.0,
1910,Saigon Ve Wong,Kung Fu Artificial Chicken Rice Noodle,Bowl,Vietnam,3.5,
1911,Nissin,Gozen Tempura,Bowl,Japan,4.0,
1912,Saigon Ve Wong,Kung Fu Vegetarian,Bowl,Vietnam,2.0,
1913,Nissin,Ramen Bowl Kimchi,Bowl,USA,3.0,
1914,Lishan,Black Rooster Chicken,Pack,Taiwan,1.5,
1915,Mama,Moo Nam Tok Rice Vermicelli,Pack,Thailand,3.25,
1916,Thai Kitchen,Bangkok Curry Rice Noodle,Pack,USA,2.75,
1917,Paldo,Jjajangmen Black Bean,Pack,South Korea,4.0,
1918,Daikoku,Shokuh Kitsune Udon,Bowl,Japan,4.25,
1919,Yamamoto,Ponpoko Tempura Soba,Bowl,Japan,4.25,
1920,Lucky Me!,Beef Na Beef,Pack,Philippines,3.75,
1921,Nissin,Ramen Bowl Spicy Shrimp,Bowl,USA,3.0,
1922,Paldo,Hwa King Cup,Cup,South Korea,3.5,
1923,Dragonfly,Onion,Pack,China,3.75,
1924,Nissin,Ramen Bowl Hot & Spicy,Bowl,USA,3.75,
1925,Cap Atoom Bulan,Mie Telor Asli,Pack,Indonesia,3.0,
1926,Mee Jang,Sour Spicy Chicken Tom Yum,Bowl,Thailand,3.25,
1927,Dragonfly,Artificial Pork Ribs,Pack,China,4.0,
1928,Sapporo Ichiban,Shio,Pack,Japan,5.0,
1929,Mi Sedaap,Mi Segera Mi Sup Perisa Kari Ayam,Pack,Indonesia,4.0,
1930,Dragonfly,Artificial Chicken,Pack,China,4.0,
1931,Pot Noodle,Chicken & Mushroom,Cup,UK,3.75,
1932,Nongshim,Seafood Ramyun,Pack,South Korea,3.75,
1933,Sunlee,Tom Yum Shrimp Noodle,Bowl,Thailand,3.5,
1934,Yamamoto,Shoyu,Bowl,Japan,4.25,
1935,Nongshim,Oolongmen Artificial Chicken,Cup,South Korea,3.75,
1936,Sura,Knife Cut Rice Noodle,Bowl,South Korea,3.75,
1937,Wei Chuan,Miso Vegetables,Pack,Taiwan,3.25,
1938,Little Cook,Spicy Beef,Cup,Thailand,2.75,
1939,Vina Acecook,Hao Hao Shrimp Onion,Pack,Vietnam,3.0,
1940,Master Kong,Artificial Spicy Beef,Pack,China,4.25,
1941,Nissin,Gozen Kitsune Udon,Bowl,Japan,5.0,
1942,GreeNoodle,Yakisoba,Pack,Thailand,3.0,
1943,Snapdragon,Chinese Mushroom Rice Noodle,Cup,Singapore,2.5,
1944,Yamamori,Tom Yam Ramen Pork,Pack,Japan,4.75,
1945,Ottogi,Buckwheat Bibim Ramyon,Pack,South Korea,1.1,
1946,Baijia,Sichuan Hot Pot Sweet Potato Thread,Bowl,China,0.5,
1947,Mr. Udon,Seafood Selection,Pack,South Korea,3.5,
1948,Mr. Udon,Japanese Miso,Pack,South Korea,2.75,
1949,Fashion Foods,XO Sauce,Bowl,Thailand,1.25,
1950,Ve Wong,Kung Fu Artificial Mushroom Pork,Bowl,Taiwan,1.25,
1951,Master Kong,Artificial Braised Beef,Pack,China,4.25,
1952,Lucky Me!,Supreme La Paz Batchoy Beef Garlic,Bowl,Philippines,3.5,
1953,Omachi,Spaghetti,Pack,Vietnam,3.75,
1954,Ottogi,Yeul Hot Taste,Bowl,South Korea,3.5,
1955,Pot Noodle,Bombay Bad Boy,Cup,UK,4.0,
1956,Master Kong,Artificial Pork,Pack,China,3.75,
1957,Wei Wei,"""A"" Series Vegetarian",Pack,Taiwan,3.25,
1958,Daikoku,My Friend Vic Tanuki Udon,Bowl,Japan,4.75,
1959,Ottogi,Jin Ramen Big Bowl (Hot),Bowl,South Korea,3.5,
1960,Vifon,Phu Gia Bamboo Shoot Artificial Pork Bean Thread,Pack,Vietnam,1.25,
1961,Yamamoto,Ponpoko Tempura Udon,Bowl,Japan,4.75,
1962,Pulmuone,Cold Noodles By Dad,Pack,South Korea,2.75,
1963,Nissin,Demae Iccho Sesame Oil Chicken Macaroni,Pack,Japan,3.75,
1964,Maggi,2 Minute Noodles Thrillin' Curry,Pack,India,2.0,
1965,Yamamori,Tom Yam Prawn,Pack,Japan,4.5,
1966,Fuku,Superior Soup Rice Noodle,Pack,Hong Kong,2.5,
1967,Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Bowl,Vietnam,3.0,
1968,Maruchan,Yakisoba Spicy Chicken,Tray,USA,1.75,
1969,Batchelors,Super Noodles Low Fat Sweet Thai Chilli,Pack,UK,2.0,
1970,Wei Wei,"""A"" Series Artificial Chicken",Pack,Taiwan,3.25,
1971,Wei Wei,"""A"" Series Artificial Hot Beef",Pack,Taiwan,3.75,
1972,Koka,Spicy Black Pepper,Pack,Singapore,5.0,2012 #10
1973,Pot Noodle,Beef Tomato,Cup,UK,1.5,
1974,Six Fortune,U-Dong,Pack,South Korea,4.0,
1975,Little Cook,Artificial Onion,Cup,Thailand,3.5,
1976,Batchelors,Super Noodles Low Fat Chicken Herb,Pack,UK,2.0,
1977,Wei Lih,Goog Good Eat Super Ramen Hot Chili,Pack,Taiwan,3.75,
1978,Nongshim,Oolongmen Artificial Seafood,Cup,South Korea,3.5,
1979,Wei Chuan,Tomato Vegetables,Pack,Taiwan,4.0,
1980,Maruchan,Ramen Noodle Soup Beef,Pack,USA,3.25,
1981,Lucky Me!,Pancit Canton Extra Hot Chili,Pack,Philippines,4.0,
1982,Little Cook,Vegetarian,Cup,Thailand,3.25,
1983,Batchelors,Super Noodles Sweet & sour,Pack,UK,3.5,
1984,Thai Kitchen,Lemongrass Chili Rice Noodle,Pack,USA,1.5,
1985,Thai Kitchen,Spring Onion Rice Noodle,Pack,USA,3.75,
1986,Haioreum,Asian Style Noodles Seafood,Bowl,South Korea,3.5,
1987,Nongshim,Chapagetti Chajang,Pack,South Korea,4.0,
1988,Batchelors,Super Noodles Mild Curry,Pack,UK,3.25,
1989,Batchelors,Super Noodles To Go Chinese Space Rib,Bowl,UK,2.5,
1990,Mama,Chand Clear Soup,Bowl,Thailand,3.5,
1991,Vifon,South Korean Style Kim Chee,Bowl,Vietnam,4.25,
1992,Vifon,Tu Quy Pork,Pack,Vietnam,2.75,
1993,Sunlight,Steam Vermicelli,Pack,Taiwan,2.1,
1994,Vedan,Bah Kut Tea Noodle For Vegetarians,Pack,Taiwan,3.25,
1995,Ve Wong,Artificial Onion Flavor Bean Thread,Bowl,Taiwan,1.5,
1996,Baijia,Single Noble Black Bone Chicken Sweet Potato Thread,Cup,China,0.0,
1997,Vifon,Phu Gia Cua Crab Bean Thread,Pack,Vietnam,2.25,
1998,Koyo,Tofu & Miso,Pack,USA,2.5,
